department_name,decision_type,high_risk_decisions,failed_outcomes,failure_rate_pct,avg_risk_score,total_financial_impact,avg_financial_impact
Technology,Process Change,31,21,67.74,42.26,-391822.94,-12639.45
Customer Experience,Pricing,21,19,90.48,41.19,-378771.12,-18036.72
Legal,Vendor Selection,15,14,93.33,45.67,-365673.68,-24378.25
Sales,Vendor Selection,16,14,87.5,44.38,-360599.13,-22537.45
Human Resources,Policy Change,20,14,70.0,42.25,-359718.34,-17985.92
Product,Technology,15,12,80.0,41.67,-353174.46,-23544.96
Human Resources,Technology,19,18,94.74,42.37,-346717.67,-18248.3
Marketing,Pricing,56,29,51.79,43.39,-343258.0,-6129.61
Customer Experience,Technology,23,13,56.52,42.17,-341124.61,-14831.5
Legal,Policy Change,32,25,78.13,42.81,-340522.26,-10641.32
Data & Analytics,Process Change,11,11,100.0,43.64,-338736.58,-30794.23
Legal,Strategic Initiative,24,20,83.33,41.88,-331564.23,-13815.18
Data & Analytics,Vendor Selection,19,16,84.21,42.11,-319700.04,-16826.32
Risk,Pricing,26,22,84.62,42.12,-319018.75,-12269.95
Quality,Hiring,19,15,78.95,41.84,-311687.84,-16404.62
Research,Product Launch,23,20,86.96,44.35,-305232.27,-13270.97
Product,Strategic Initiative,23,20,86.96,43.04,-303682.0,-13203.57
Operations,Capacity Planning,46,24,52.17,44.78,-298084.2,-6480.09
Risk,Investment,23,18,78.26,43.04,-294651.06,-12810.92
Risk,Strategic Initiative,14,12,85.71,44.29,-286771.81,-20483.7
Marketing,Policy Change,37,22,59.46,43.92,-281215.21,-7600.41
Quality,Investment,19,19,100.0,44.47,-281088.7,-14794.14
Research,Hiring,17,16,94.12,42.65,-280948.66,-16526.39
Human Resources,Investment,13,11,84.62,43.46,-280579.69,-21583.05
Finance,Pricing,22,13,59.09,42.27,-275487.9,-12522.18
Sales,Product Launch,26,18,69.23,41.35,-273959.92,-10536.92
Strategy,Process Change,24,19,79.17,40.63,-264847.24,-11035.3
Legal,Process Change,17,11,64.71,41.47,-264276.37,-15545.67
Operations,Strategic Initiative,27,22,81.48,47.04,-261575.3,-9687.97
Legal,Hiring,14,13,92.86,42.5,-259289.28,-18520.66
Technology,Strategic Initiative,22,18,81.82,43.64,-257707.84,-11713.99
Strategy,Capacity Planning,24,17,70.83,43.33,-256897.82,-10704.08
Product,Pricing,21,16,76.19,42.62,-244095.66,-11623.6
Product,Hiring,24,22,91.67,43.13,-242808.93,-10117.04
Research,Strategic Initiative,14,12,85.71,43.21,-235679.63,-16834.26
Product,Vendor Selection,19,12,63.16,40.53,-232582.21,-12241.17
Sales,Policy Change,13,12,92.31,41.54,-232568.38,-17889.88
Technology,Vendor Selection,20,20,100.0,45.5,-231738.8,-11586.94
Human Resources,Product Launch,18,15,83.33,44.72,-231390.91,-12855.05
Sales,Investment,18,16,88.89,44.44,-226709.25,-12594.96
Strategy,Product Launch,22,20,90.91,42.95,-221576.49,-10071.66
Sales,Hiring,21,15,71.43,43.81,-218346.97,-10397.47
Sales,Capacity Planning,17,13,76.47,42.06,-217977.0,-12822.18
Customer Experience,Investment,17,12,70.59,42.06,-211317.11,-12430.42
Technology,Product Launch,11,8,72.73,41.36,-207196.98,-18836.09
Data & Analytics,Strategic Initiative,16,14,87.5,45.31,-204676.56,-12792.28
Human Resources,Vendor Selection,16,14,87.5,43.75,-204400.61,-12775.04
Research,Vendor Selection,12,12,100.0,47.5,-196989.31,-16415.78
Sales,Pricing,17,15,88.24,43.82,-193747.2,-11396.89
Customer Experience,Vendor Selection,26,21,80.77,41.54,-185376.91,-7129.88
Technology,Hiring,16,13,81.25,43.13,-185026.62,-11564.16
Strategy,Policy Change,12,8,66.67,42.08,-184466.52,-15372.21
Finance,Hiring,15,14,93.33,45.33,-179559.8,-11970.65
Human Resources,Capacity Planning,11,10,90.91,42.27,-172824.79,-15711.34
Data & Analytics,Investment,24,20,83.33,43.33,-170042.52,-7085.1
Product,Policy Change,15,13,86.67,44.0,-168276.53,-11218.44
Marketing,Technology,36,16,44.44,42.36,-162972.13,-4527.0
Finance,Vendor Selection,14,13,92.86,43.93,-158944.19,-11353.16
Data & Analytics,Policy Change,20,15,75.0,44.0,-151619.13,-7580.96
Data & Analytics,Product Launch,13,13,100.0,47.31,-146004.57,-11231.12
Customer Experience,Policy Change,23,17,73.91,43.91,-140753.41,-6119.71
Finance,Strategic Initiative,12,11,91.67,41.67,-135800.78,-11316.73
Customer Experience,Capacity Planning,24,13,54.17,41.46,-131491.72,-5478.82
Research,Pricing,12,9,75.0,43.75,-125332.6,-10444.38
Strategy,Strategic Initiative,27,19,70.37,40.93,-125129.78,-4634.44
Research,Investment,12,7,58.33,41.67,-111254.65,-9271.22
Data & Analytics,Capacity Planning,11,10,90.91,40.91,-109206.47,-9927.86
Technology,Policy Change,9,6,66.67,43.89,-107096.84,-11899.65
Risk,Capacity Planning,8,6,75.0,45.0,-106731.49,-13341.44
Quality,Pricing,12,7,58.33,42.92,-104083.29,-8673.61
Product,Investment,7,6,85.71,42.14,-92358.86,-13194.12
Legal,Investment,10,7,70.0,42.5,-83558.57,-8355.86
Finance,Policy Change,20,17,85.0,42.0,5241.79,262.09
Legal,Product Launch,12,8,66.67,42.08,28684.79,2390.4
